Bus_Name,Bus_Type,Departure_Time,Destination_Time,Total_Duration,Ratings,Price,Seats_Available,Route_name,Route_Link
V.I.P Travels,A/C Seater / Sleeper (2+2),21:40,03:40,06h 00m,3.0,INR 350,59 Seats available,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,02:00,05h 32m,"2.4
6",450,5 Seats available,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,04:00,05h 20m,"2.2
23",405,23 Seats available,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Travel Point World LLP,A/C Seater / Sleeper (2+2),20:20,10:50,14h 30m,"1.9
6",1849,35 Seats available,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/gopalganj-to-delhi
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:00,04:00,06h 00m,"4.5
4",INR 550,54 Seats available,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-motihari
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,03:15,04h 55m,3.6,INR 550,38 Seats available,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-motihari
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,23:30,03h 02m,"1.2
4",450,6 Seats available,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-motihari
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),21:55,05:31,07h 36m,"2.3
13",INR 550,40 Seats available,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/bettiah-to-patna
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:00,05:00,07h 00m,"2.1
15",450,9 Seats available,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/bettiah-to-patna
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,06:00,09h 32m,"3.3
9",450,6 Seats available,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,07:00,08h 20m,"3.0
11",405,23 Seats available,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar
Bihar state road transport corporation (BSRTC) - 142847,AC Seater (2+2),21:25,06:30,09h 05m,"3.3
70",INR 468,7 Seats available,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-katihar
SOBHA TRAVELS (A.T),A/C Seater / Sleeper (2+1),20:40,05:00,08h 20m,"2.9
35",540,24 Seats available,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-katihar
Sri Krishna Rath,A/C Seater / Sleeper (2+2),20:30,05:35,09h 05m,1.8,809,19 Seats available,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-katihar
Bihar state road transport corporation (BSRTC) - 142847,AC Seater (2+2),21:25,05:40,08h 15m,"3.5
60",INR 468,7 Seats available,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea
MAA KAMAKHYA DREAMLINER,A/C Seater / Sleeper (2+1),20:40,05:00,08h 20m,"4.1
45",495,16 Seats available,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea
Sadhvi Rath,A/C Seater / Sleeper (2+1),20:20,06:20,10h 00m,"3.3
36",495,7 Seats available,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea
Sri Krishna Tours and Travels,A/C Seater / Sleeper (2+1),20:25,05:15,08h 50m,"3.6
6",INR 650,3 Seats available,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea
Sri Krishna Tours and Travels,A/C Seater / Sleeper (2+2),20:30,05:20,08h 50m,"2.5
5",INR 600,4 Seats available,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea
Raj Bus Services,Bharat Benz A/C Seater /Sleeper (2+1),20:35,05:35,09h 00m,3.6,450,11 Seats available,Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea
